model,embedding,seed,subject,test_mean_r,test_max_r,variant
multi_subject,clip,42,sub-01,0.07277430593967438,0.6861181259155273,multi_subject_clip_seed42
multi_subject,clip,42,sub-02,0.07502734661102295,0.6731094121932983,multi_subject_clip_seed42
multi_subject,clip,42,sub-03,0.08531985431909561,0.7000514268875122,multi_subject_clip_seed42
multi_subject,clip,42,sub-04,0.10659737884998322,0.7000797390937805,multi_subject_clip_seed42
multi_subject,clip,42,sub-05,0.08607678860425949,0.7000682950019836,multi_subject_clip_seed42
multi_subject,clip,42,sub-06,0.08809725195169449,0.7257261276245117,multi_subject_clip_seed42
multi_subject,clip,42,sub-07,0.07952777296304703,0.7083795666694641,multi_subject_clip_seed42
multi_subject,clip,42,sub-08,0.11322483420372009,0.7186053991317749,multi_subject_clip_seed42
multi_subject,clip,42,sub-09,0.07355200499296188,0.6287033557891846,multi_subject_clip_seed42
multi_subject,clip,42,sub-10,0.11151333898305893,0.7510687708854675,multi_subject_clip_seed42
multi_subject,clip,1337,sub-01,0.0749727264046669,0.6993646025657654,multi_subject_clip_seed1337
multi_subject,clip,1337,sub-02,0.07491829991340637,0.6918516755104065,multi_subject_clip_seed1337
multi_subject,clip,1337,sub-03,0.09228502213954926,0.7136631011962891,multi_subject_clip_seed1337
multi_subject,clip,1337,sub-04,0.11189825087785721,0.7142592668533325,multi_subject_clip_seed1337
multi_subject,clip,1337,sub-05,0.08847302943468094,0.7191177606582642,multi_subject_clip_seed1337
multi_subject,clip,1337,sub-06,0.09473130851984024,0.7262061238288879,multi_subject_clip_seed1337
multi_subject,clip,1337,sub-07,0.08352149277925491,0.7159140706062317,multi_subject_clip_seed1337
multi_subject,clip,1337,sub-08,0.11800641566514969,0.737524688243866,multi_subject_clip_seed1337
multi_subject,clip,1337,sub-09,0.07296385616064072,0.6317813396453857,multi_subject_clip_seed1337
multi_subject,clip,1337,sub-10,0.11442169547080994,0.7667140960693359,multi_subject_clip_seed1337
multi_subject,clip,2026,sub-01,0.07514303922653198,0.6986058950424194,multi_subject_clip_seed2026
multi_subject,clip,2026,sub-02,0.07330436259508133,0.6881246566772461,multi_subject_clip_seed2026
multi_subject,clip,2026,sub-03,0.09031929820775986,0.7012667059898376,multi_subject_clip_seed2026
multi_subject,clip,2026,sub-04,0.10792170464992523,0.7091343402862549,multi_subject_clip_seed2026
multi_subject,clip,2026,sub-05,0.08668212592601776,0.7155895829200745,multi_subject_clip_seed2026
multi_subject,clip,2026,sub-06,0.0945689007639885,0.7011992335319519,multi_subject_clip_seed2026
